Brand_name,Price,Rating,Rating_count,Review_count,Ranking,URL
"Yale YTYE Black with Mechanical Key, Pin Code and Backlit Keyboard Smart Door Lock","4,999",5,3,0,1,https://www.flipkart.com/yale-ytye-black-mechanical-key-pin-code-backlit-keyboard-smart-door-lock/p/itmf67aacde7906e?pid=SLOGW3JS4G2V9EZN&lid=LSTSLOGW3JS4G2V9EZNXDUHLV&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_41&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsgXLG2pEdvv-AH41jlDlvxG2O0gqCDbUx0Ba4j1XP6PLA%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Yale YDME 100 NxT with RFID, Pin Code, Mech Keys & App Enabled Access, Alarm Feature Smart Door Lock","12,999",3.8,29,2,2,https://www.flipkart.com/yale-ydme-100-nxt-rfid-pin-code-mech-keys-app-enabled-access-alarm-feature-smart-door-lock/p/itm55050bc121dd2?pid=SLOGF7G7UZYFAQ3H&lid=LSTSLOGF7G7UZYFAQ3HLBNLZD&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_42&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsjLE_scf6LB9rrZ5ODO-RMrOWFDU8DrZPx-IFC2s9jf6w%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Yale YDM 4115 A with Biometric, Pincode, Mechanical Keys & App Enabled Access Smart Door Lock","29,990",0,0,0,3,https://www.flipkart.com/yale-ydm-4115-biometric-pincode-mechanical-keys-app-enabled-access-smart-door-lock/p/itm7f3ac8e6b624a?pid=SLOGJXGGP2RNNHNZ&lid=LSTSLOGJXGGP2RNNHNZ02LPLJ&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_43&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGJXGGP2RNNHNZ.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"OZONE OZ-FDL-04-Std Smart Door Lock","11,672",0,0,0,4,https://www.flipkart.com/ozone-oz-fdl-04-std-smart-door-lock/p/itmea375130ac741?pid=SLOGEBMGGMZ8Y7TZ&lid=LSTSLOGEBMGGMZ8Y7TZT9FB1Y&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_44&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGEBMGGMZ8Y7TZ.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Yale Pincode Digital for Wardrobes/Cabinets - Silver, Metallic Finish Smart Door Lock","1,999",0,0,0,5,https://www.flipkart.com/yale-pincode-digital-wardrobes-cabinets-silver-metallic-finish-smart-door-lock/p/itm48372518e2a26?pid=SLOGXV25DSTPYFUT&lid=LSTSLOGXV25DSTPYFUTXWHQLP&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&spotlightTagId=TrendingId_igc%2Fu0f&srno=s_2_45&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGXV25DSTPYFUT.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Kesig 8787 Smart Door Lock",899,4.3,10,1,6,https://www.flipkart.com/kesig-8787-smart-door-lock/p/itmdb3e9bc5c9d4d?pid=SLOGX8TSCZKGFBYW&lid=LSTSLOGX8TSCZKGFBYW5Q2A8G&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_46&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGX8TSCZKGFBYW.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Qubo Essential Lock by HERO GROUP 5-Way Unlocking Fingerprint Pincode Mobile App Smart Door Lock","8,990",4.2,53,4,7,https://www.flipkart.com/qubo-essential-lock-hero-group-5-way-unlocking-fingerprint-pincode-mobile-app-smart-door/p/itm361752d3e3803?pid=SLOGZ4MNGZKRJFZZ&lid=LSTSLOGZ4MNGZKRJFZZKWU21K&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_47&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsiBTbHwrZjb_wMUfzzvyE18ATKTxQRCsbi7phSnDj3-Sw%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"SPEEDY ATOM-i Smart Wi-Fi Door Lock with Built-in Camera | Mobile App, Fingerprint, PIN, RFID Card & Manual Key | Free Installation | Door Thickness: 35-80 mm Smart Door Lock","7,499",0,0,0,8,https://www.flipkart.com/speedy-atom-i-smart-wi-fi-door-lock-built-in-camera-mobile-app-fingerprint-pin-rfid-card-manual-key-free-installation-thickness-35-80-mm/p/itm8ac1c31cb69ea?pid=SLOH2HEKV35RTCRE&lid=LSTSLOH2HEKV35RTCRE0CUIGG&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_48&otracker=search&fm=organic&iid=en_Ew92U4r_rBR4Z_DObpN29vG5HbDSGYVBK8WcstUomsjUXoIOIdgW5j4hp3v7P6-qb1vmC_BRagNFn_1ajq3RZQ%3D%3D&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"SECUREYE SECUREYE Smart Door Lock","16,498",0,0,0,9,https://www.flipkart.com/secureye-smart-door-lock/p/itm2a9ace92c49ea?pid=SLOGMMDQNGFB6F7G&lid=LSTSLOGMMDQNGFB6F7GBZZ9VI&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_49&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOGMMDQNGFB6F7G.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
"Aayansh Collection Door Lock Coil I DC 9-12V Universal Electric Rim Lock Coil Driver Parts Of Smart Door Lock",559,0,0,0,10,https://www.flipkart.com/aayansh-collection-door-lock-coil-dc-9-12v-universal-electric-rim-driver-parts-smart/p/itmaa8292d439dff?pid=SLOH28Z7PYSYHU6V&lid=LSTSLOH28Z7PYSYHU6VBLDJQS&marketplace=FLIPKART&q=smart+lock&store=igc%2Fu0f&srno=s_2_50&otracker=search&fm=organic&iid=ff6a22c5-b603-47de-ab30-8f3bb6112ee4.SLOH28Z7PYSYHU6V.SEARCH&ppt=None&ppn=None&ssid=ttvetg38ow0000001721996842922&qH=cbd6bd39f1bc0eb5
